title,location,job_id,level,job_url,keyword,description
Microsoft Dynamics 365 CRM Consultant (m/w/d),"CH, STADEL",N/A,N/A,https://www.hso.com/careers/vacancies/microsoft-dynamics-365-crm-consultant-mwd/,Microsoft Dynamics,"Tauche ein in eine Welte voller Möglichkeiten – Deine Mission Beraten, gestalten, umsetzen – Du berätst unsere Kunden bei der Einführung und Optimierung von Microsoft Dynamics 365 CRM und setzt gemeinsam mit ihnen innovative Lösungen um – mit Schwerpunkt auf mindestens einem der Module: Sales, Marketing, Customer Service oder Field Service . Technisches Verständnis einbringen – Du passt D365 CE individuell an Kundenbedürfnisse an – sei es durch Customizing oder Low-Code/No-Code-Lösungen. In der ersten Reihe dabei –Pre-Sales im Team, Konzepte erstellen, Kundenpräsentationen halten und deine Expertise in spannende Projekte einbringen. Inspiration durch Schulungen – Du teilst dein Wissen und inspirierst Kunden durch Schulungen und Workshops , um die optimale Nutzung von Microsoft Dynamics 365 CRM sicherzustellen. Lösungen betreuen & weiterentwickeln – Auch nach der Implementierung bist du für die laufende Betreuung & Weiterentwicklung im Rahmen von Managed Services da."
Senior Presales Consultant Microsoft Dynamics 365 CRM (m/w/d) - bundesweit,"DE, BÖBLINGEN",N/A,N/A,https://www.hso.com/careers/vacancies/senior-presales-consultant-microsoft-dynamics-365-crm-mwd-bundesweit/,Microsoft Dynamics,"Gestalte mit uns, wie Technologie Unternehmen verändert – und deine Karriere gleich mit.   HSO gehört seit über 21 Jahren zum Microsoft Inner Circle – der exklusiven Top 1 % aller Partner weltweit – und wurde 26-mal als Microsoft Partner of the Year ausgezeichnet. Mit über 30 Jahren Erfahrung, 2.800 Mitarbeitenden aus 43 Nationen und 33 Standorten weltweit verbinden wir technologische Exzellenz mit tiefem Branchenverständnis.   Bei HSO arbeitest du an innovativen Projekten, direkt an der Schnittstelle zwischen Business und moderner Microsoft Cloud – von Dynamics über Azure bis hin zu Data & AI.   Du willst nicht nur beraten, sondern gestalten? Dann werde Teil von HSO und bring dein Know-how dorthin, wo es zählt: in internationale Projekte, moderne Technologien und ein Team, das deinen Anspruch teilt, besser zu sein als gestern.  Als Bindeglied zwischen Sales und Consulting unterstützt du unser Sales Team in der Gewinnung von potentiellen Kunden Zu deinen Aufgaben gehört schwerpunktmäßig die Vorbereitung und Durchführung von anspruchsvollen Präsentationen und Workshops rund um Microsoft Dynamics 365 Customer Engagement Zusammen mit dem Sales-Team und den Solution-Architekten erarbeitest du kundenorientierte Lösungsangebote und begleitest den gesamten Pre-Sales-Prozess Auf Basis eines Demosystems erstellst du zudem inspirierende und überzeugende Lösungen für unsere Kunden Die Mitarbeit bei der Bearbeitung von Ausschreibungen, das Erstellen von Projektangeboten sowie die enge Zusammenarbeit mit den Dynamics 365 Consultants und Entwicklern runden dein Aufgabengebiet ab"
Solution Architect Microsoft Dynamics,"NL, VEENENDAAL",N/A,N/A,https://www.hso.com/careers/vacancies/solution-architect-msd365-manufacturing/,Microsoft Dynamics,"Rol introductie Jij hebt het! Dat waar wij niet zonder kunnen en onze klanten beter van worden. Jij bent in staat om in wisselende projectteams het beste uit elk team te halen en onmogelijke problemen om te zetten in mogelijkheden. Als Solution Architect ben je functioneel verantwoordelijk voor een optimale implementatie van de integrale Dynamics 365 oplossing. Je bent het inhoudelijke geweten van de Project Manager en sparringpartner voor het management van onze klant. De best practices die wij en Microsoft hebben opgebouwd laat je hierbij leidend zijn. Op basis hiervan ben je voorstellend en adviserend naar je klanten. Daarnaast weet je de bedachte applicatie landschap ook overtuigend te presenteren aan de klant. Wat ga je doen? Je stelt de roadmap op om de integrale oplossing te implementeren. Je kunt denken vanuit integrale processen waarbij meerdere Microsoft oplossingen betrokken zijn: Vaak ben je ook betrokken en ook verantwoordelijk voor de realisatie /implementatie van de oplossing; Daarnaast geef je input voor de doorontwikkeling van branche oplossingen van HSO; Je signaleert proactief optimalisatiemogelijkheden en adviseer je klanten over nieuwe functies en diensten binnen het Microsoft-ecosysteem die hun bedrijfsresultaten verbeteren; Vaak ben je ook betrokken en ook verantwoordelijk voor de realisatie /implementatie van de oplossing; Je bent de spin in het web tussen klant, je technische en functionele collega’s en de project managers. Over het team Je bent onderdeel van de Service Line Unified Operations, een onderdeel van HSO Nederland. Unified Operations is een geoliede projectservices organisatie met een uitstekende reputatie op het gebied van ERP. Samen met de andere Servicelines binnen HSO kunnen we de complete Microsoft Stack aanbieden (Modern Workplace, Analytics, CE, Azure Integrations,  e.d.). Het totale team van onze Service Line bestaat momenteel uit ruim 100 professionals, onder leiding van de Service Line Director Arie Martin van den Akker."
(Senior) Consultant Microsoft Dynamics 365 CRM (m/w/d) - bundesweit,"DE, BÖBLINGEN",N/A,N/A,https://www.hso.com/careers/vacancies/senior-consultant-microsoft-dynamics-365-crm-mwd-bundesweit-1/,Microsoft Dynamics,"HSO ist ein Transformationspartner mit fundiertem Branchenwissen und globaler Präsenz. Wir nutzen das gesamte Potenzial der Microsoft Cloud, um die Arbeitswelt unserer Kunden zu transformieren und die Unternehmensleistung zu optimieren. Mit weltweit +2500 Mitarbeitern unterstützen wir Unternehmen bei der Modernisierung von Geschäftsabläufen. HSO ist seit über 20 Jahren Mitglied im Microsoft Inner Circle – eine exklusive Gemeinschaft, in die weltweit nur die Top 1% aller Microsoft-Partner aufgenommen werden. Zahlreiche Partner of the Year Awards von Microsoft sind der Beweis für unsere ausgezeichnete Microsoft- und Branchen-Expertise. Join the journey!   Beraten, gestalten, umsetzen : Du berätst unsere Kunden bei der Einführung und Optimierung von Microsoft Dynamics 365 CRM und setzt gemeinsam mit ihnen innovative Lösungen um – mit Schwerpunkt auf mind. einem der Module wie Sales, Marketing, Customer Service oder Field Service Dein technisches Verständnis einbringen : Du passt die Dynamics 365-Lösung individuell an die Bedürfnisse der Kunden an – ob durch Customizing oder Low-Code/No-Code-Lösungen In der ersten Reihe dabei : Wenn es dir Spaß macht, unterstützt du unser Team im Pre-Sales, erstellst Konzepte, präsentierst deine Ideen bei Kunden und bringst deine Expertise in spannenden Projekten ein Inspiration durch Schulungen: Nicht nur dein Wissen teilen, sondern auch die Begeisterung für Microsoft Dynamics 365CRM entfachen. Durch Schulungen und Workshops stellst du sicher, dass unsere Kunden das volle Potenzial der CRM-Plattform nutzen Lösungen betreuen und weiterentwickeln : Du stehst unseren Kunden auch nach der Implementierung zur Seite, unterstützt im laufenden Betrieb und begleitest die Weiterentwicklung ihrer Systeme im Rahmen von Managed Services Im Team unschlagbar : In enger Zusammenarbeit mit deinen Kolleg:innen entwickelst du innovative Ideen, teilst dein Wissen und sorgst dafür, dass Projekte gemeinsam erfolgreich abgeschlossen werden"
Solution Architect Microsoft Dynamics 365 CRM (m/w/d) - bundesweit,"DE, BÖBLINGEN",N/A,N/A,https://www.hso.com/careers/vacancies/solution-architect-crm-mwd-microsoft-dynamics-365-bundesweit/,Microsoft Dynamics,"Mit über 2.800 Expert:innen weltweit, 33 Standorten und 30+ Jahren Microsoft-Erfahrung gestalten wir individuelle und innovative  Businesslösungen - technologisch, menschlich und partnerschaftlich.   Wir gehören seit 21 Jahren zur Microsoft Inner Circle Elite – der Top 1 % weltweit – und wurden bereits 26-mal zum Microsoft Partner of the Year gekürt. Was das für dich heißt? Zugang zu modernster Microsoft-Technologie, echte Einflussmöglichkeiten und Projekte, die etwas bewegen.  Ob internationales Projekt oder Deep Dive in Cloud-Innovationen: Bei HSO bist du nicht nur Teil des Fortschritts – du gestaltest ihn mit. Du willst mehr als Standardberatung? Dann steig bei uns ein.  Aufgaben : Entwurf und Entwicklung von Lösungsarchitekturen für Microsoft Dynamics CRM-Projekte Beratung unserer Kunden bei der Definition ihrer Anforderungen und der Auswahl geeigneter Technologien Bewertung und Auswahl von Technologien und Tools im Microsoft Dynamics CRM Umfeld Erstellung von technischen Konzepten und Architekturdesigns Sicherstellung der Einhaltung von Qualitätsstandards und Best Practices Aktive Teilnahme am Pre-Sales Prozess, technischen Diskussionen und Workshops"
Microsoft Dynamics 365 Solution Architekt (m/w/d),"CH, WINTERTHUR",N/A,N/A,https://www.hso.com/careers/vacancies/microsoft-dynamics-365-solution-architekt-mwd/,Microsoft Dynamics,"Tauche ein in eine Welte voller Möglichkeiten – Deine Mission Architektur & Lösungsdesign – Du entwirfst und entwickelst Lösungsarchitekturen für Microsoft Dynamics CRM-Projekte und stellst sicher, dass diese optimal in die IT-Landschaft des Kunden integriert werden. Beratung & Technologieauswahl – Du unterstützt unsere Kunden bei der Definition ihrer Anforderungen und der Auswahl geeigneter Technologien, um maßgeschneiderte Lösungen zu entwickeln. Technologiebewertung & Tools – Du bewertest und wählst die richtigen Technologien und Tools im Microsoft Dynamics 365 CRM-Umfeld aus, um leistungsstarke Lösungen zu gewährleisten. Technische Konzepte & Architekturdesigns – Du erstellst Architektur-Blueprints und technische Konzepte, um eine nachhaltige und zukunftsfähige Implementierung sicherzustellen. Qualitätsstandards & Best Practices – Du stellst sicher, dass alle entwickelten Lösungen den höchsten Qualitätsstandards und Best Practices entsprechen. Pre-Sales & Workshops – Du nimmst aktiv an technischen Diskussionen, Kundenworkshops und Pre-Sales-Prozessen teil, um innovative Lösungen zu präsentieren."
Consultant Microsoft Dynamics 365 - Logistiek,"NL, VEENENDAAL",N/A,N/A,https://www.hso.com/careers/vacancies/consultant-microsoft-dynamics-365-logistiek/,Microsoft Dynamics,"Wil jij je kennis van logistieke processen inzetten op uitdagende projecten? En werk je graag in wisselende projectteams? Dan zoeken we jou! Introductie van de rol Als Consultant Microsoft Dynamics 365 Logistiek zet je jouw kennis van Supply Chain Management processen en van technologie in, om klanten verder te brengen. Je werkt in wisselende projectteams aan de realisatie en implementatie van Microsoft Dynamics 365 voor o.a. groothandel, Retail en technische dienstverlening en vertaalt de vraagstukken van onze klanten naar concrete oplossingen. We willen betrouwbaar, resultaatgericht en voorspelbaar zijn, deze eigenschappen zoeken we in nieuwe medewerkers. HSO bestaat uit een hechte club mensen met een no-nonsense mentaliteit, die uitstekend weten waarover ze het hebben en zich echt verdiepen in de klant en doen wat ze zeggen. Medewerkers met oog voor elkaar, die elkaar ook willen helpen. Wat ga je doen? Je fungeert als volwaardig sparringpartner voor collega’s en klanten; Je werkt in wisselende projectteams aan de implementatie van de D365SCM, voornamelijk logistieke functionaliteiten; Je functioneert als adviseur bij klanten op niveau van directie en management en vertaalt de vraagstukken van onze klanten naar concrete oplossingen en begeleidt het complete implementatietraject; Je hebt een leidende rol in het implementeren van D365 SCM met de kerngebruikers. Daarnaast ben je ook bezig met het verzamelen en delen van branche-en productkennis met HSO collega’s. Over het team Je wordt onderdeel van de Service Line Unified Operations, een onderdeel van HSO Nederland. Unified Operations is een projectservices organisatie met een uitstekende reputatie op het gebied van implementatie van D365SCM. Samen met de andere Servicelines binnen HSO kunnen we de complete Microsoft Stack aanbieden (Modern Workplace, Analytics, CE, Azure Integrations,  e.d.). Het team van onze Service Line bestaat momenteel uit ruim 100 professionals, onder leiding van de Service Line Director Arie Martin van den Akker met daaronder functionele teams."
(Senior) Projektleiter Microsoft Dynamics 365 CRM (m/w/d) - bundesweit,"DE, BÖBLINGEN",N/A,N/A,https://www.hso.com/careers/vacancies/project-manager-crm-mwd-microsoft-dynamics-365-bundesweit/,Microsoft Dynamics,"Gestalte mit uns, wie Technologie Unternehmen verändert – und deine Karriere gleich mit.    HSO gehört seit über 21 Jahren zum Microsoft Inner Circle – der exklusiven Top 1 % aller Partner weltweit – und wurde 26-mal als Microsoft Partner of the Year ausgezeichnet. Mit über 30 Jahren Erfahrung, 2.800 Mitarbeitenden aus 43 Nationen und 33 Standorten weltweit verbinden wir technologische Exzellenz mit tiefem Branchenverständnis.   Bei HSO arbeitest du an innovativen Projekten, direkt an der Schnittstelle zwischen Business und moderner Microsoft Cloud – von Dynamics über Azure bis hin zu Data & AI.   Du willst nicht nur beraten, sondern gestalten? Dann werde Teil von HSO und bring dein Know-how dorthin, wo es zählt: in internationale Projekte, moderne Technologien und ein Team, das deinen Anspruch teilt, besser zu sein als gestern.  Als Projektleiter bist du für Digital Transformation Projekte unter Einsatz von Microsoft Dynamics 365 (Cloud Technology) verantwortlich. Dies umfasst die Vorbereitung, Planung, Steuerung und Durchführung von interessanten nationalen und internationalen CRM / Customer Engagement Projekten Du übernimmst zudem die Verantwortung für den Projekterfolg von CRM-Projekten in Bezug auf Umfang, Zeit, Kosten und Qualität Operative Projektsteuerung und Aktivitäten-Management mithilfe der Projektpläne Überwachung der Projektdokumentation sowie der offenen Aktivitäten durch entsprechende Action- / Item-Listen Tracking/Controlling der Arbeitspakete sowie Erstellung der Projektstatusberichte Kommunikation und Sicherstellung der operativen Einhaltung von definierten Methoden und Projektstandards gehören ebenso zu deinem Aufgabengebiet Fortlaufende Vorbereitung und Abstimmung der Projekt-Budgets und der Projekt-Abrechnungen für die definierten Leistungsverträge und Aktivitäten Durch deine ausgeprägte Sozialkompetenz sorgst du für vertrauensvolle und langfristige Kundenbeziehungen Du steuerst das Ressourcen- und Risikomanagement deiner zugewiesenen Projekte Mit unserer bewährten Projektmethodik HSO Excellerate™ hast du die beste Voraussetzung, anspruchsvolle Projekte zum Erfolg zu führen"
Sales Manager Microsoft Dynamics 365 (m/w/d) - bundesweit,"DE, BÖBLINGEN",N/A,N/A,https://www.hso.com/careers/vacancies/sales-manager-microsoft-dynamics-365-mwd-remote-in-deutschland/,Microsoft Dynamics,"Gestalte mit uns, wie Technologie Unternehmen verändert – und deine Karriere gleich mit.   HSO gehört seit über 21 Jahren zum Microsoft Inner Circle – der exklusiven Top 1 % aller Partner weltweit – und wurde 26-mal als Microsoft Partner of the Year ausgezeichnet. Mit über 30 Jahren Erfahrung, 2.800 Mitarbeitenden aus 43 Nationen und 33 Standorten weltweit verbinden wir technologische Exzellenz mit tiefem Branchenverständnis.   Bei HSO arbeitest du an innovativen Projekten, direkt an der Schnittstelle zwischen Business und moderner Microsoft Cloud – von Dynamics über Azure bis hin zu Data & AI.   Du willst nicht nur beraten, sondern gestalten? Dann werde Teil von HSO und bring dein Know-how dorthin, wo es zählt: in internationale Projekte, moderne Technologien und ein Team, das deinen Anspruch teilt, besser zu sein als gestern.  Business Development : Durchführung von Erstgesprächen, Kurzpräsentationen und gezielten Business Development Aktivitäten bei Interessenten und Kunden Sales Funnel Management : Verantwortung für den Sales Funnel (Leads) in definierten Kunden-, Segment- oder Branchenbereichen Opportunity Management : Systematische Verfolgung von Leads und qualifizierten Opportunities bis hin zum Vertragsabschluss Workshops koordinieren : Unterstützung und Koordination von Workshops in Zusammenarbeit mit unserem Presales-Team Ganzheitliches Sales Management : Betreuung des gesamten Sales-Zyklus – von der Anbahnung über die Verhandlung bis hin zum erfolgreichen Abschluss, mit dem Ziel, langfristige Geschäftsbeziehungen zu fördern Prototyping und Analysephasen : Management von Prototypen-, Diagnosen- und Analysephasen (Plan of Approach) Angebotserstellung : Erstellung von Angeboten sowie Durchführung von Vertragsverhandlungen gemäß unseren Unternehmensstandards Repräsentation : Vertretung des Unternehmens auf Messen, Konferenzen und anderen Branchenveranstaltungen Marketing-Support : Aktive Unterstützung bei Verkaufs- und Marketingaktivitäten, um die Sichtbarkeit und den Erfolg des Unternehmens zu fördern"
Lead Consultant Microsoft Dynamics 365 CRM (m/w/d) - bundesweit,"DE, BÖBLINGEN",N/A,N/A,https://www.hso.com/careers/vacancies/lead-consultant-microsoft-dynamics-365-crm-mwd-bundesweit/,Microsoft Dynamics,"Gestalte mit uns, wie Technologie Unternehmen verändert – und deine Karriere gleich mit.   HSO gehört seit über 21 Jahren zum Microsoft Inner Circle – der exklusiven Top 1 % aller Partner weltweit – und wurde 26-mal als Microsoft Partner of the Year ausgezeichnet. Mit über 30 Jahren Erfahrung, 2.800 Mitarbeitenden aus 43 Nationen und 33 Standorten weltweit verbinden wir technologische Exzellenz mit tiefem Branchenverständnis.   Bei HSO arbeitest du an innovativen Projekten, direkt an der Schnittstelle zwischen Business und moderner Microsoft Cloud – von Dynamics über Azure bis hin zu Data & AI.   Du willst nicht nur beraten, sondern gestalten? Dann werde Teil von HSO und bring dein Know-how dorthin, wo es zählt: in internationale Projekte, moderne Technologien und ein Team, das deinen Anspruch teilt, besser zu sein als gestern.  Du übernimmst die fachliche Leitung von CRM-Projekten : Du führst die Kunden durch alle Projektphasen – von der Anforderungsanalyse über die Konzeption bis zur Umsetzung mit Microsoft Dynamics 365 CRM Beraten, gestalten, umsetzen : Du bist zentraler Ansprechpartner für unsere Kunden, verstehst ihre Prozesse und entwickelst innovative Lösungen in den Modulen Sales, Marketing, Customer Service oder Field Service Projektsteuerung und -koordination : Du planst Aufgaben, stimmst dich mit internen und externen Stakeholdern ab und sorgst für eine reibungslose Umsetzung im Team Technisches Verständnis einsetzen : Du passt Dynamics 365 individuell an – durch Customizing und Low-Code/No-Code – und sorgst für nachhaltige Lösungen Impulse im Pre-Sales setzen : Du unterstützt im Vertriebsprozess, erstellst Konzepte, führst Präsentationen durch und positionierst dich als Lösungsexperte Wissen teilen : In Schulungen und Workshops sorgst du dafür, dass unsere Kunden Dynamics 365 effizient nutzen – mit Begeisterung und Kompetenz Weiterentwicklung begleiten : Auch nach Go-Live bleibst du verlässlicher Partner und begleitest die kontinuierliche Optimierung im Rahmen von Managed Services Im Team vorangehen : Du arbeitest eng mit deinen Kolleg:innen zusammen, förderst Austausch und treibst gemeinsam Erfolge voran"
