title,job_id,level,job_url,keyword,location,description
Pre-Sales Engineer Director (Microsoft Dynamics 365 - Supply Chain Management),JR113707,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Toronto/Pre-Sales-Engineer-Director--Microsoft-Dynamics-365---Supply-Chain-Management-_JR113707?q=Microsoft%20Dynamics,Microsoft Dynamics,"Toronto, CAN-BC-Virtual, CAN-ON-Virtual, CAN-AB-Virtual","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Client Engagement Manager 1,JR113719,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Gurugram/Client-Engagement-Manager-1_JR113719?q=Microsoft%20Dynamics,Microsoft Dynamics,Gurugram,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
"Manager, Microsoft Dynamics 365 Enterprise",JR113679,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Manager--Microsoft-Dynamics-365-Enterprise_JR113679?q=Microsoft%20Dynamics,Microsoft Dynamics,Hyderabad,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Microsoft CE Technical Manager,JR112009,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Microsoft-CE-Technical-Manager_JR112009?q=Microsoft%20Dynamics,Microsoft Dynamics,"Hyderabad, Bengaluru","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Senior Associate - SALT Transaction Tax & Automation,JR113788,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/San-Salvador/Senior-Associate---SALT-Transaction-Tax---Automation_JR113788?q=Microsoft%20Dynamics,Microsoft Dynamics,San Salvador,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Growth Support Proposal Specialist Senior,JR110007,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/San-Salvador/Growth-Support-Specialist_JR110007?q=Microsoft%20Dynamics,Microsoft Dynamics,San Salvador,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Growth Support Proposal Specialist,JR113730,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/San-Salvador/Growth-Support-Proposal-Specialist_JR113730?q=Microsoft%20Dynamics,Microsoft Dynamics,San Salvador,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
"Manager, Software Testing",JR110120,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Sr-Associate--Software-Testing_JR110120?q=Microsoft%20Dynamics,Microsoft Dynamics,"Hyderabad, Bengaluru","We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
Pipeline Development Analyst 1,JR112659,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Gurugram/Pipeline-Development-Analyst-1_JR112659?q=Microsoft%20Dynamics,Microsoft Dynamics,Gurugram,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
"Senior Developer, Microsoft Dynamics 365 Enterprise",JR109818,Experienced,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Hyderabad/Senior-Developer--Microsoft-Dynamics-365-Enterprise_JR109818?q=Microsoft%20Dynamics,Microsoft Dynamics,Hyderabad,"We are the leading provider of professional services to the middle market globally, our purpose is to instill confidence in a world of change, empowering our clients and people to realize their full potential. Our exceptional people are the key to our unrivaled, inclusive culture and talent experience and our ability to be compelling to our clients. You’ll find an environment that inspires and empowers you to thrive both personally and professionally. There’s no one like you and that’s why there’s nowhere like RSM."
